PACKAGE,ELAPSED_TIME,HOUR_GPS,MIN_GPS,SEC_GPS,CENT_GPS,HOUR_PC,MIN_PC,SEC_PC,CENT_PC,VEL_RODA,ROTACAO,TEMP,FLUIDO,AX,AY,AZ,ROLL,PITCH,HEADING,LAT,LON,ALT,VEL_GPS,SAT,HDOP,RSSI,CHECKSUM
0,500,16,8,55,72,13,8,56,52.5406,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,212,157
1,1000,16,8,56,0,13,8,57,1.8997,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,213,77
2,1500,16,8,57,0,13,8,57,52.8524,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,220,69
3,2000,16,8,57,0,13,8,58,2.4825,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,218,60
4,2500,16,8,58,0,13,8,58,52.7586,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,216,52
5,3000,16,8,58,0,13,8,59,1.6346,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,216,43
6,3500,16,8,59,0,13,8,59,52.7679,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,221,35
7,4000,16,8,59,50,13,9,0,2.3364,1042,0.0,0,0,0,0,0,0,0,0,-202654304,-402626190,0,1042,0,15,215,118
8,4500,16,8,59,50,13,9,0,51.7966,1042,0.0,0,0,0,0,0,0,0,0,-202654304,-402626190,108,1042,9,147,219,102
9,5000,16,9,0,0,13,9,1,2.7537,222,0.0,0,0,0,0,0,0,0,0,-202654018,-402626647,80,222,9,147,214,185
10,5500,16,9,1,0,13,9,1,52.1686,894,0.0,0,0,0,0,0,0,0,0,-202654151,-402626571,80,894,9,147,223,190
11,6000,16,9,1,0,13,9,2,1.5546,894,0.0,0,0,0,0,0,0,0,0,-202654151,-402626571,111,894,9,123,211,188
12,6500,16,9,2,0,13,9,2,52.5216,494,0.0,0,0,0,0,0,0,0,0,-202654037,-402626647,111,494,9,123,230,182
13,7000,16,9,2,0,13,9,3,2.4317,494,0.0,0,0,0,0,0,0,0,0,-202654037,-402626647,125,494,9,106,221,170
14,7500,16,9,3,0,13,9,3,52.0145,357,0.0,0,0,0,0,0,0,0,0,-202654266,-402626571,125,357,9,106,214,246
15,8000,16,9,3,0,13,9,4,1.7834,357,0.0,0,0,0,0,0,0,0,0,-202654266,-402626571,123,357,10,91,221,221
16,8500,16,9,4,0,13,9,4,51.4945,103,0.0,0,0,0,0,0,0,0,0,-202654209,-402626533,118,103,8,98,218,55
17,9000,16,9,4,0,13,9,5,2.4385,103,0.0,0,0,0,0,0,0,0,0,-202654209,-402626533,118,103,8,98,226,46
18,9500,16,9,5,0,13,9,5,52.0717,240,0.0,0,0,0,0,0,0,0,0,-202654209,-402626571,118,240,8,98,231,17
19,10000,16,9,5,0,13,9,6,1.9267,240,0.0,0,0,0,0,0,0,0,0,-202654209,-402626571,118,240,9,92,231,3
20,10500,16,9,6,0,13,9,6,51.3625,27,0.0,0,0,0,0,0,0,0,0,-202654170,-402626609,118,27,9,92,231,83
21,11000,16,9,6,0,13,9,7,2.4457,27,0.0,0,0,0,0,0,0,0,0,-202654170,-402626609,118,27,10,85,230,67
22,11500,16,9,7,0,13,9,7,52.4973,31,0.0,0,0,0,0,0,0,0,0,-202654151,-402626571,118,31,10,85,227,124
23,12000,16,9,7,0,13,9,8,1.967,31,0.0,0,0,0,0,0,0,0,0,-202654151,-402626571,115,31,10,85,228,112
24,12500,16,9,8,0,13,9,8,51.5216,27,0.0,0,0,0,0,0,0,0,0,-202654151,-402626571,115,27,10,85,233,96
25,13000,16,9,8,0,13,9,9,2.4625,27,0.0,0,0,0,0,0,0,0,0,-202654151,-402626571,118,27,9,106,233,110
26,13500,16,9,9,0,13,9,9,52.4773,527,0.0,0,0,0,0,0,0,0,0,-202654037,-402626533,118,527,9,106,229,235
27,14000,16,9,9,0,13,9,10,1.8734,527,0.0,0,0,0,0,0,0,0,0,-202654037,-402626533,125,527,8,147,228,17
28,14500,16,9,10,0,13,9,10,52.0256,525,0.0,0,0,0,0,0,0,0,0,-202653961,-402626380,125,525,8,147,233,234
