PACKAGE,ELAPSED_TIME,HOUR_GPS,MIN_GPS,SEC_GPS,CENT_GPS,HOUR_PC,MIN_PC,SEC_PC,CENT_PC,VEL_RODA,ROTACAO,TEMP,FLUIDO,AX,AY,AZ,ROLL,PITCH,HEADING,LAT,LON,ALT,VEL_GPS,SAT,HDOP,RSSI,CHECKSUM
0,1000,15,34,15,0,12,34,16,23.4181,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,223,60
1,2000,15,34,16,0,12,34,17,22.9587,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,232,42
2,3000,15,34,17,0,12,34,18,23.6233,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,234,24
3,4000,15,34,18,0,12,34,19,24.4362,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,231,6
4,5000,15,34,19,0,12,34,20,23.9327,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,234,244
5,6000,15,34,20,0,12,34,21,23.2295,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,235,226
6,7000,15,34,21,0,12,34,22,23.4395,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,234,208
7,8000,15,34,22,0,12,34,23,23.1821,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,234,190
8,9000,15,34,23,0,12,34,24,24.4268,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,30,234,191
9,10000,15,34,24,0,12,34,25,24.1233,3011,0.0,0,0,0,0,0,0,0,0,-202653617,-402626419,223,3011,9,94,233,55
10,11000,15,34,25,0,12,34,26,23.0029,2785,0.0,0,0,0,0,0,0,0,0,-202653388,-402626304,285,2785,10,94,235,248
11,12000,15,34,26,0,12,34,27,23.9139,2776,0.0,0,0,0,0,0,0,0,0,-202653160,-402626266,354,2776,9,101,235,42
12,13000,15,34,27,0,12,34,28,23.3678,1974,0.0,0,0,0,0,0,0,0,0,-202652988,-402626190,387,1974,10,94,235,225
13,14000,15,34,28,0,12,34,29,23.7322,2342,0.0,0,0,0,0,0,0,0,0,-202652626,-402625999,455,2342,9,94,232,34
14,15000,15,34,29,0,12,34,30,24.2901,2020,0.0,0,0,0,0,0,0,0,0,-202652378,-402625808,527,2020,8,103,234,145
15,16000,15,34,30,0,12,34,31,23.2625,1948,0.0,0,0,0,0,0,0,0,0,-202652034,-402625541,651,1948,8,158,231,7
16,17000,15,34,31,0,12,34,32,23.0434,1555,0.0,0,0,0,0,0,0,0,0,-202651901,-402625389,734,1555,7,143,232,67
17,18000,15,34,32,0,12,34,33,24.431,312,0.0,0,0,0,0,0,0,0,0,-202652130,-402625427,788,312,9,94,230,109
