PACKAGE,ELAPSED_TIME,HOUR_GPS,MIN_GPS,SEC_GPS,CENT_GPS,HOUR_PC,MIN_PC,SEC_PC,CENT_PC,VEL_RODA,ROTACAO,TEMP,FLUIDO,AX,AY,AZ,ROLL,PITCH,HEADING,LAT,LON,ALT,VEL_GPS,SAT,HDOP,RSSI,CHECKSUM
0,1000,14,14,5,0,11,14,2,72.5337,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,222,29
1,2000,14,14,6,0,11,14,3,71.5962,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,236,11
2,3000,14,14,7,50,11,14,4,71.1386,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,171,238,204
3,4000,14,14,8,0,11,14,5,72.4093,664,0.0,0,0,0,0,0,0,0,0,-202653999,-402626762,136,664,9,117,239,4
4,5000,14,14,9,0,11,14,6,72.2215,51,0.0,0,0,0,0,0,0,0,0,-202653846,-402626724,145,51,9,89,238,209
5,6000,14,14,10,0,11,14,7,72.6607,66,0.0,0,0,0,0,0,0,0,0,-202653846,-402626800,230,66,9,89,237,230
6,7000,14,14,11,0,11,14,8,72.0511,196,0.0,0,0,0,0,0,0,0,0,-202653827,-402626800,272,196,9,89,237,22
7,8000,14,14,12,0,11,14,9,72.5875,266,0.0,0,0,0,0,0,0,0,0,-202653808,-402626800,272,266,9,89,237,165
8,9000,14,14,13,0,11,14,10,71.9856,248,0.0,0,0,0,0,0,0,0,0,-202653770,-402626838,267,248,9,89,235,103
9,10000,14,14,14,0,11,14,11,72.6311,211,0.0,0,0,0,0,0,0,0,0,-202653770,-402626876,277,211,9,89,236,239
10,11000,14,14,15,0,11,14,12,72.1537,288,0.0,0,0,0,0,0,0,0,0,-202653789,-402626838,291,288,8,106,235,169
11,12000,14,14,16,0,11,14,13,72.8012,137,0.0,0,0,0,0,0,0,0,0,-202653732,-402626876,303,137,9,92,235,121
12,13000,14,14,17,0,11,14,14,72.077,135,0.0,0,0,0,0,0,0,0,0,-202653636,-402626838,302,135,9,92,236,233
13,14000,14,14,18,0,11,14,15,71.4284,125,0.0,0,0,0,0,0,0,0,0,-202653617,-402626876,308,125,9,106,236,196
14,15000,14,14,19,0,11,14,16,72.6147,98,0.0,0,0,0,0,0,0,0,0,-202653579,-402626876,302,98,9,106,236,156
15,16000,14,14,20,0,11,14,17,72.6799,90,0.0,0,0,0,0,0,0,0,0,-202653598,-402626953,313,90,9,94,237,25
16,17000,14,14,21,0,11,14,18,72.0654,79,0.0,0,0,0,0,0,0,0,0,-202653541,-402626914,302,79,9,89,237,65
17,18000,14,14,22,0,11,14,19,71.537,22,0.0,0,0,0,0,0,0,0,0,-202653522,-402626914,286,22,9,89,238,192
