PACKAGE,ELAPSED_TIME,HOUR_GPS,MIN_GPS,SEC_GPS,CENT_GPS,HOUR_PC,MIN_PC,SEC_PC,CENT_PC,VEL_RODA,ROTACAO,TEMP,FLUIDO,AX,AY,AZ,ROLL,PITCH,HEADING,LAT,LON,ALT,VEL_GPS,SAT,HDOP,RSSI,CHECKSUM
0,500,14,48,50,60,11,48,51,29.4551,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,237,178
1,1000,14,48,51,0,11,48,51,78.33,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,238,110
2,1500,14,48,52,0,11,48,52,28.9353,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,238,102
3,2000,14,48,52,0,11,48,52,78.6382,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,237,93
4,2500,14,48,53,0,11,48,53,29.8454,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,237,85
5,3000,14,48,53,0,11,48,53,78.4504,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,238,76
6,3500,14,48,53,0,11,48,54,29.5599,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,238,67
7,4000,14,48,54,0,11,48,54,79.3597,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,238,65
8,4500,14,48,54,0,11,48,55,29.1455,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,237,56
9,5000,14,48,55,0,11,48,55,79.0341,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,8,242,238,21
10,5500,14,48,56,0,11,48,56,29.6269,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,8,242,238,13
11,6000,14,48,56,0,11,48,56,79.8819,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,238,25
12,6500,14,48,57,0,11,48,57,29.7258,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,236,17
13,7000,14,48,57,0,11,48,57,79.3209,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,236,8
14,7500,14,48,57,0,11,48,58,29.0842,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,236,255
15,8000,14,48,58,0,11,48,58,78.7339,177,0.0,0,0,0,0,0,0,0,0,-202653732,-402626991,90,177,8,108,236,48
16,8500,14,48,59,0,11,48,59,28.3215,137,0.0,0,0,0,0,0,0,0,0,-202653694,-402626991,90,137,8,108,240,255
17,9000,14,48,59,0,11,48,59,78.3266,137,0.0,0,0,0,0,0,0,0,0,-202653694,-402626991,93,137,7,108,240,248
18,9500,14,49,0,0,11,49,0,29.3802,140,0.0,0,0,0,0,0,0,0,0,-202653732,-402626953,93,140,7,108,246,186
19,10000,14,49,0,0,11,49,0,79.6464,140,0.0,0,0,0,0,0,0,0,0,-202653732,-402626953,100,140,7,108,240,184
20,10500,14,49,1,0,11,49,1,28.7423,164,0.0,0,0,0,0,0,0,0,0,-202653751,-402626953,100,164,7,108,240,205
21,11000,14,49,1,0,11,49,1,78.2907,164,0.0,0,0,0,0,0,0,0,0,-202653751,-402626953,113,164,9,108,237,210
22,11500,14,49,1,0,11,49,2,29.5275,164,0.0,0,0,0,0,0,0,0,0,-202653751,-402626953,113,164,9,108,234,201
23,12000,14,49,2,0,11,49,2,79.3287,229,0.0,0,0,0,0,0,0,0,0,-202653751,-402626953,128,229,10,108,242,83
24,12500,14,49,2,0,11,49,3,29.1646,229,0.0,0,0,0,0,0,0,0,0,-202653751,-402626953,128,229,10,108,242,74
25,13000,14,49,3,0,11,49,3,78.6939,311,0.0,0,0,0,0,0,0,0,0,-202653808,-402626914,151,311,10,91,241,220
26,13500,14,49,3,0,11,49,4,28.699,311,0.0,0,0,0,0,0,0,0,0,-202653808,-402626914,151,311,10,91,242,211
27,14000,14,49,4,0,11,49,4,78.5503,277,0.0,0,0,0,0,0,0,0,0,-202653827,-402626914,143,277,9,91,241,107
28,14500,14,49,4,0,11,49,5,29.8306,277,0.0,0,0,0,0,0,0,0,0,-202653827,-402626914,143,277,9,91,242,98
29,15000,14,49,5,0,11,49,5,78.6042,355,0.0,0,0,0,0,0,0,0,0,-202653865,-402626914,151,355,9,91,242,216
30,15500,14,49,6,0,11,49,6,29.7699,316,0.0,0,0,0,0,0,0,0,0,-202653903,-402626914,151,316,9,91,244,92
31,16000,14,49,6,0,11,49,6,79.3762,316,0.0,0,0,0,0,0,0,0,0,-202653903,-402626914,151,316,9,91,239,83
32,16500,14,49,6,0,11,49,7,29.0401,316,0.0,0,0,0,0,0,0,0,0,-202653903,-402626914,151,316,9,91,237,74
33,17000,14,49,7,0,11,49,7,79.7704,109,0.0,0,0,0,0,0,0,0,0,-202653923,-402626876,150,109,9,91,233,179
34,17500,14,49,8,0,11,49,8,28.5019,79,0.0,0,0,0,0,0,0,0,0,-202653942,-402626876,150,79,9,91,233,92
35,18000,14,49,8,0,11,49,8,79.6859,79,0.0,0,0,0,0,0,0,0,0,-202653942,-402626876,153,79,9,91,233,86
36,18500,14,49,9,0,11,49,9,29.6855,27,0.0,0,0,0,0,0,0,0,0,-202653961,-402626838,153,27,9,91,229,248
37,19000,14,49,9,0,11,49,9,79.3963,27,0.0,0,0,0,0,0,0,0,0,-202653961,-402626838,156,27,9,91,234,242
38,19500,14,49,9,0,11,49,10,29.4371,27,0.0,0,0,0,0,0,0,0,0,-202653961,-402626838,156,27,9,91,225,233
39,20000,14,49,10,0,11,49,10,79.2184,127,0.0,0,0,0,0,0,0,0,0,-202654018,-402626838,162,127,10,80,234,108
