PACKAGE,ELAPSED_TIME,HOUR_GPS,MIN_GPS,SEC_GPS,CENT_GPS,HOUR_PC,MIN_PC,SEC_PC,CENT_PC,LATENCIA,VEL_RODA,ROTACAO,TEMP,FLUIDO,AX,AY,AZ,ROLL,PITCH,HEADING,LAT,LON,ALT,VEL_GPS,SAT,HDOP,RSSI,CHECKSUM
0,19914,20,0,29,0,17,0,29,70.2503,0.5389999999897555,129,0.0,0,0,0,0,0,0,0,0,-202397499,-402807350,32,129,9,90,184,113
1,21070,20,0,30,0,17,0,30,85.8754,0.5390000000479631,61,0.0,0,0,0,0,0,0,0,0,-202397499,-402807273,37,61,9,90,186,199
2,22225,20,0,31,0,17,0,32,1.8354,0.5389999999897555,124,0.0,0,0,0,0,0,0,0,0,-202397499,-402807235,35,124,9,90,185,242
3,23381,20,0,32,0,17,0,33,17.4604,0.5464999999967404,55,0.0,0,0,0,0,0,0,0,0,-202397518,-402807235,30,55,9,90,184,219
4,24537,20,0,33,0,17,0,34,33.5514,0.5544999999692664,94,0.0,0,0,0,0,0,0,0,0,-202397537,-402807235,25,94,9,90,183,155
5,25693,20,0,34,0,17,0,35,49.5123,0.5470000000204891,100,0.0,0,0,0,0,0,0,0,0,-202397556,-402807273,17,100,9,94,181,245
6,26849,20,0,36,0,17,0,36,65.1881,0.5469999999622814,88,0.0,0,0,0,0,0,0,0,0,-202397594,-402807235,12,88,9,94,186,99
7,28004,20,0,37,0,17,0,37,80.0926,0.5389999999897555,179,0.0,0,0,0,0,0,0,0,0,-202397594,-402807197,10,179,9,90,183,195
8,29160,20,0,38,0,17,0,38,95.0463,0.5389999999897555,198,0.0,0,0,0,0,0,0,0,0,-202397613,-402807159,11,198,9,90,180,135
9,30316,20,0,39,0,17,0,40,11.3238,0.5390000000479631,135,0.0,0,0,0,0,0,0,0,0,-202397594,-402807121,8,135,8,104,182,215
10,31473,20,0,40,0,17,0,41,26.941,0.5470000000204891,68,0.0,0,0,0,0,0,0,0,0,-202397613,-402807159,2,68,8,104,182,157
11,32629,20,0,41,0,17,0,42,41.8858,0.5464999999967404,59,0.0,0,0,0,0,0,0,0,0,-202397613,-402807159,-3,59,8,109,183,21
12,33785,20,0,42,0,17,0,43,57.3071,0.5389999999897555,90,0.0,0,0,0,0,0,0,0,0,-202397613,-402807159,-4,90,8,104,183,215
13,34940,20,0,44,0,17,0,44,73.9168,0.5390000000479631,27,0.0,0,0,0,0,0,0,0,0,-202397594,-402807197,-6,27,8,104,183,207
14,36096,20,0,45,0,17,0,45,89.3454,0.5470000000204891,64,0.0,0,0,0,0,0,0,0,0,-202397594,-402807235,-20,64,9,104,183,113
15,37252,20,0,46,0,17,0,47,4.2779,0.5464999999967404,92,0.0,0,0,0,0,0,0,0,0,-202397594,-402807235,-24,92,9,104,182,47
16,38407,20,0,47,0,17,0,48,20.8173,0.5464999999967404,79,0.0,0,0,0,0,0,0,0,0,-202397613,-402807197,-20,79,9,90,183,168
17,39563,20,0,48,0,17,0,49,36.4429,0.5470000000204891,237,0.0,0,0,0,0,0,0,0,0,-202397651,-402807159,-16,237,8,94,188,117
18,40718,20,0,49,0,17,0,50,52.0763,0.5469999999622814,425,0.0,0,0,0,0,0,0,0,0,-202397727,-402807159,-17,425,9,94,191,44
19,41879,20,0,51,0,17,0,51,67.7017,0.5470000000204891,679,0.0,0,0,0,0,0,0,0,0,-202398014,-402807083,-17,679,9,90,178,226
20,43034,20,0,52,0,17,0,52,83.644,0.5464999999967404,957,0.0,0,0,0,0,0,0,0,0,-202398242,-402807044,-20,957,9,90,183,217
21,44190,20,0,53,0,17,0,53,99.2672,0.5470000000204891,1068,0.0,0,0,0,0,0,0,0,0,-202398490,-402807006,-18,1068,9,90,186,115
22,45346,20,0,54,0,17,0,55,14.6346,0.5469999999622814,1068,0.0,0,0,0,0,0,0,0,0,-202398757,-402806892,-12,1068,9,90,186,106
23,46500,20,0,55,0,17,0,56,30.2568,0.5470000000204891,950,0.0,0,0,0,0,0,0,0,0,-202399005,-402806816,-8,950,9,90,179,91
24,47656,20,0,56,0,17,0,57,45.2032,0.5389999999897555,1109,0.0,0,0,0,0,0,0,0,0,-202399253,-402806739,-5,1109,9,90,175,126
