PACKAGE,ELAPSED_TIME,HOUR_GPS,MIN_GPS,SEC_GPS,CENT_GPS,HOUR_PC,MIN_PC,SEC_PC,CENT_PC,VEL_RODA,ROTACAO,TEMP,FLUIDO,AX,AY,AZ,ROLL,PITCH,HEADING,LAT,LON,ALT,VEL_GPS,SAT,HDOP,RSSI,CHECKSUM
0,1000,19,35,45,0,16,35,46,21.472,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,193,95
1,2000,19,35,46,0,16,35,47,21.3604,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,191,77
2,3000,19,35,47,0,16,35,48,21.3624,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,192,52
3,4000,19,35,48,0,16,35,49,20.1871,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,192,35
4,5000,19,35,49,0,16,35,50,20.1875,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,250,194,6
5,6000,19,35,50,0,16,35,51,20.1637,2944,0.0,0,0,0,0,0,0,0,0,-202399234,-402806320,0,2944,4,250,194,232
6,7000,19,35,51,0,16,35,52,20.1638,2159,0.0,0,0,0,0,0,0,0,0,-202398185,-402806663,133,2159,7,115,190,117
7,8000,19,35,52,0,16,35,53,21.1314,1950,0.0,0,0,0,0,0,0,0,0,-202398223,-402805824,111,1950,7,35,188,124
8,9000,19,35,53,0,16,35,54,21.4555,1092,0.0,0,0,0,0,0,0,0,0,-202398338,-402805976,190,1092,8,42,184,252
9,10000,19,35,54,0,16,35,55,21.4575,838,0.0,0,0,0,0,0,0,0,0,-202398376,-402806434,158,838,7,159,190,78
10,11000,19,35,55,0,16,35,56,21.576,564,0.0,0,0,0,0,0,0,0,0,-202398357,-402806243,93,564,7,154,192,162
11,12000,19,35,56,0,16,35,57,21.5741,342,0.0,0,0,0,0,0,0,0,0,-202398319,-402806320,100,342,7,159,186,182
12,13000,19,35,57,0,16,35,58,21.1045,305,0.0,0,0,0,0,0,0,0,0,-202398242,-402806472,81,305,7,154,186,247
13,14000,19,35,58,0,16,35,59,20.0021,225,0.0,0,0,0,0,0,0,0,0,-202398204,-402806549,56,225,7,154,183,3
14,15000,19,35,59,0,16,36,0,20.2366,153,0.0,0,0,0,0,0,0,0,0,-202398147,-402806587,45,153,7,154,188,105
15,16000,19,36,0,0,16,36,1,20.5494,122,0.0,0,0,0,0,0,0,0,0,-202398128,-402806663,35,122,7,154,191,155
16,17000,19,36,1,0,16,36,2,20.5519,109,0.0,0,0,0,0,0,0,0,0,-202398109,-402806701,30,109,7,154,187,87
17,18000,19,36,2,0,16,36,3,20.0995,129,0.0,0,0,0,0,0,0,0,0,-202398090,-402806777,25,129,7,154,189,47
18,19000,19,36,3,0,16,36,4,20.0978,150,0.0,0,0,0,0,0,0,0,0,-202398090,-402806777,18,150,7,154,184,64
19,20000,19,36,4,0,16,36,5,20.1172,57,0.0,0,0,0,0,0,0,0,0,-202398090,-402806816,16,57,7,154,174,74
20,21000,19,36,5,0,16,36,6,20.1159,96,0.0,0,0,0,0,0,0,0,0,-202398090,-402806854,12,96,7,154,169,92
21,22000,19,36,6,0,16,36,7,20.4176,111,0.0,0,0,0,0,0,0,0,0,-202398071,-402806854,12,111,7,154,174,122
22,23000,19,36,7,0,16,36,8,20.4193,229,0.0,0,0,0,0,0,0,0,0,-202398071,-402806816,10,229,7,154,169,120
23,24000,19,36,8,0,16,36,9,20.4181,146,0.0,0,0,0,0,0,0,0,0,-202398071,-402806816,8,146,7,154,187,190
24,25000,19,36,9,0,16,36,10,20.9079,220,0.0,0,0,0,0,0,0,0,0,-202398090,-402806816,6,220,7,154,183,43
25,26000,19,36,10,0,16,36,11,20.9078,416,0.0,0,0,0,0,0,0,0,0,-202398147,-402806892,2,416,7,154,189,26
26,27000,19,36,11,0,16,36,12,20.2832,425,0.0,0,0,0,0,0,0,0,0,-202398242,-402806816,-13,425,6,34,185,125
27,28000,19,36,12,0,16,36,13,20.2828,388,0.0,0,0,0,0,0,0,0,0,-202398319,-402806777,-8,388,7,154,183,122
28,29000,19,36,13,0,16,36,14,21.2774,379,0.0,0,0,0,0,0,0,0,0,-202398433,-402806816,-12,379,7,154,184,184
29,30000,19,36,14,0,16,36,15,21.1741,396,0.0,0,0,0,0,0,0,0,0,-202398529,-402806777,-15,396,8,154,181,141
30,31000,19,36,15,0,16,36,16,21.1709,362,0.0,0,0,0,0,0,0,0,0,-202398605,-402806739,-12,362,8,154,186,20
31,32000,19,36,16,0,16,36,17,20.1079,446,0.0,0,0,0,0,0,0,0,0,-202398700,-402806739,-12,446,9,99,189,21
32,33000,19,36,17,0,16,36,18,20.1104,505,0.0,0,0,0,0,0,0,0,0,-202398815,-402806625,-15,505,9,94,181,110
33,34000,19,36,18,0,16,36,19,21.076,685,0.0,0,0,0,0,0,0,0,0,-202398967,-402806549,-6,685,9,94,186,131
34,35000,19,36,19,0,16,36,20,21.0753,896,0.0,0,0,0,0,0,0,0,0,-202399177,-402806434,5,896,9,94,179,198
35,36000,19,36,20,0,16,36,21,20.4846,1213,0.0,0,0,0,0,0,0,0,0,-202399444,-402806358,11,1213,9,94,184,118
36,37000,19,36,21,0,16,36,22,20.4869,1666,0.0,0,0,0,0,0,0,0,0,-202399826,-402806320,13,1666,9,94,175,154
37,38000,19,36,22,0,16,36,23,20.4848,1666,0.0,0,0,0,0,0,0,0,0,-202400245,-402806320,20,1666,9,94,180,235
38,39000,19,36,23,0,16,36,24,20.4896,1750,0.0,0,0,0,0,0,0,0,0,-202400665,-402806320,18,1750,9,94,187,217
39,40000,19,36,24,0,16,36,25,20.5254,2161,0.0,0,0,0,0,0,0,0,0,-202401180,-402806320,16,2161,9,94,180,250
40,41000,19,36,25,0,16,36,26,21.3143,2483,0.0,0,0,0,0,0,0,0,0,-202401771,-402806320,16,2483,9,94,167,29
41,42000,19,36,26,0,16,36,27,21.3159,2874,0.0,0,0,0,0,0,0,0,0,-202402458,-402806320,17,2874,9,94,181,108
