PACKAGE,ELAPSED_TIME,HOUR_GPS,MIN_GPS,SEC_GPS,CENT_GPS,HOUR_PC,MIN_PC,SEC_PC,CENT_PC,LATENCIA,VEL_RODA,ROTACAO,TEMP,FLUIDO,AX,AY,AZ,ROLL,PITCH,HEADING,LAT,LON,ALT,VEL_GPS,SAT,HDOP,RSSI,CHECKSUM
0,8802,19,20,17,0,16,20,18,74.4316,1.070499999972526,3689,0.0,0,0,0,0,0,0,0,0,-202388496,-402786712,497,3689,7,150,221,26
1,11003,19,20,19,0,16,20,20,94.3105,1.070499999972526,837,0.0,0,0,0,0,0,0,0,0,-202387866,-402786445,539,837,6,169,229,34
2,13203,19,20,22,0,16,20,23,14.3549,1.0625,470,0.0,0,0,0,0,0,0,0,0,-202387676,-402786102,565,470,6,147,222,0
3,15403,19,20,24,0,16,20,25,34.1,1.070000000006985,59,0.0,0,0,0,0,0,0,0,0,-202387847,-402785911,514,59,7,104,224,35
4,17602,19,20,25,96,16,20,27,53.5361,1.0625,103,0.0,0,0,0,0,0,0,0,0,-202387886,-402785949,504,103,9,122,220,56
5,19803,19,20,28,0,16,20,29,74.1557,1.070499999972526,16,0.0,0,0,0,0,0,0,0,0,-202388019,-402786026,437,16,9,122,225,186
6,22002,19,20,30,0,16,20,31,93.6234,1.0625,46,0.0,0,0,0,0,0,0,0,0,-202388134,-402786026,399,46,9,89,227,222
7,24202,19,20,33,0,16,20,34,14.4423,1.0625,783,0.0,0,0,0,0,0,0,0,0,-202388324,-402785911,375,783,9,89,189,231
8,26402,19,20,35,0,16,20,36,34.8355,1.070000000006985,1701,0.0,0,0,0,0,0,0,0,0,-202388439,-402785224,360,1701,9,89,198,237
9,28602,19,20,37,0,16,20,38,53.5846,1.0625,1724,0.0,0,0,0,0,0,0,0,0,-202388572,-402784347,355,1724,9,89,199,163
10,30801,19,20,38,96,16,20,40,74.308,1.0625,2518,0.0,0,0,0,0,0,0,0,0,-202388896,-402783317,330,2518,9,110,182,161
11,33001,19,20,41,0,16,20,42,94.2809,1.070499999972526,3044,0.0,0,0,0,0,0,0,0,0,-202389183,-402781791,337,3044,9,178,179,44
12,35199,19,20,44,0,16,20,45,14.3767,1.0625,3772,0.0,0,0,0,0,0,0,0,0,-202389793,-402779273,347,3772,9,122,170,210
13,37399,19,20,46,0,16,20,47,33.9826,1.070000000006985,4326,0.0,0,0,0,0,0,0,0,0,-202390575,-402777290,352,4326,9,89,169,104
14,39598,19,20,48,0,16,20,49,53.1458,1.0625,4322,0.0,0,0,0,0,0,0,0,0,-202391490,-402775230,360,4322,9,89,164,136
15,41798,19,20,50,0,16,20,51,73.1686,1.0625,4429,0.0,0,0,0,0,0,0,0,0,-202392463,-402773132,370,4429,9,122,170,152
16,43996,19,20,52,0,16,20,53,93.6662,1.0625,4767,0.0,0,0,0,0,0,0,0,0,-202393455,-402770919,380,4767,9,122,165,179
